time,n1,n2,weight
1,20,05,0.67399734
1,10,20,9.131024
1,32,21,26.533361
1,34,05,47.045708
1,12,25,4.6585274
1,02,05,21.316675
1,32,19,26.863073
1,30,13,12.175804
1,03,07,16.718195
1,20,40,30.387959
1,19,06,20.545916
1,34,12,26.19066
1,16,32,12.919879
1,33,12,1.0465277
1,05,09,11.118954
1,08,14,5.6073794
1,21,26,42.93385
1,13,31,39.324043
1,06,40,14.671291
1,22,11,0.62390405
1,19,33,27.311382
1,28,10,12.367032
1,26,31,58.035572
1,06,39,9.390432
1,16,36,31.751152
1,18,34,0.42283273
1,25,19,39.204636
1,03,32,25.766954
1,10,18,32.426872
1,28,08,10.600284
1,23,34,37.881283
1,37,30,8.422834
1,09,05,11.118954
1,23,17,21.535894
1,31,14,4.675424
1,02,39,54.210396
1,29,11,12.684579
1,12,15,1.3152531
1,05,14,23.912958
1,35,27,18.661625
1,39,07,31.357857
1,20,01,37.415176
1,10,03,0.71870816
1,32,25,62.997284
1,07,12,31.66444
1,30,24,29.545212
1,40,31,1.8978503
1,21,40,10.386329
1,16,11,0.036419597
1,35,29,33.34361
1,28,39,10.850381
1,35,09,55.603107
1,02,01,14.900252
1,31,18,5.2268157
1,35,38,51.83222
1,10,17,37.397583
1,15,39,24.455803
1,22,31,4.2239866
1,03,20,57.853542
1,27,18,6.24619
1,15,30,11.418276
1,22,23,34.04201
1,27,10,25.115473
1,13,28,1.970291
1,26,13,4.80913
1,11,22,0.62390405
1,19,01,4.593739
1,16,01,21.865458
1,06,19,20.545916
1,26,28,27.95517
1,36,40,6.4372606
1,19,32,26.863073
1,35,11,11.610716
1,17,07,19.517666
1,24,14,45.682148
1,38,30,40.071407
1,22,28,22.848953
1,18,23,11.016537
1,29,33,9.519372
1,04,36,4.5672464
1,31,15,29.395882
1,12,22,1.0049198
1,27,14,50.456577
1,24,11,19.367937
1,18,08,8.418321
1,32,11,37.591778
1,29,06,23.898035
1,06,18,10.81297
1,19,12,23.015245
1,17,19,1.19612
1,08,26,14.734199
